,Player,Matches,Win%,SPW%,RPW%,TPW%,DomRatio
53,Jack Draper,0.03532008830022075,0.5953079178885631,0.5983176460266333,0.6120158610200896,0.6688388688691429,0.5310405169537578
54,Jack Sock,0.4260485651214128,0.3857954545454546,0.4752557724124973,0.5168001394622574,0.48947720051673826,0.36811523362848364
55,James Duckworth,0.1434878587196468,0.23333333333333334,0.427892594016269,0.35643650883878153,0.38067900150814626,0.22880283349522634
56,Jan Lennard Struff,0.6710816777041944,0.11136363636363639,0.5668159707747793,0.3167886243831386,0.387117961852665,0.2976403758588366
57,Jannik Sinner,0.3487858719646799,0.883838383838384,0.5847734158650737,0.8282202128993774,0.7845836353158688,0.6724511969114999
58,Jason Kubler,0.0,0.6236363636363637,0.5349775698193708,0.5251985068790586,0.5345124599018005,0.4187289112189856
59,Jaume Munar,0.2582781456953642,0.36750000000000005,0.28392261463024315,0.7863544793760038,0.5056123548589415,0.4062263335512508
60,Jenson Brooksby,0.11258278145695363,0.5105371900826446,0.32865817002043407,0.7652451160688882,0.5558902282674971,0.424272522311264
61,Jiri Lehecka,0.030905077262693148,0.30062695924764893,0.328521081965345,0.46313288274038444,0.3323367167248783,0.23390400817278967
62,Jiri Vesely,0.5143487858719646,0.43422459893048126,0.628537714836805,0.36359401678384073,0.460724472195146,0.377749877274675
63,Joao Sousa,0.6975717439293598,0.3120234604105572,0.31805173344149296,0.6569783344064726,0.4234137184147917,0.3489101156620902
64,John Isner,0.7924944812362031,0.5761670761670762,0.9790587976592398,0.0,0.5036920160712075,0.3947876757908608
65,John Millman,0.46578366445916114,0.2943181818181818,0.4403518940835025,0.39240526091593186,0.40107211367212514,0.2607662303660967
66,Jordan Thompson,0.3311258278145695,0.28754208754208754,0.39748663556742114,0.4255529995968066,0.3450038137776916,0.2540754856408425
67,Kamil Majchrzak,0.02649006622516556,0.5585858585858586,0.5356667980003507,0.5984684709242771,0.6083467483648217,0.4698798576787382
68,Karen Khachanov,0.7284768211920529,0.5818181818181818,0.5736237850494055,0.5475808485695521,0.5765868283725926,0.46493528481477053
69,Laslo Djere,0.3598233995584989,0.3880266075388027,0.47730137859897104,0.45909668554359295,0.4635575627258035,0.33080592377013285
70,Lloyd Harris,0.2097130242825607,0.2620320855614974,0.5272162081581957,0.3183651048874594,0.371355205498312,0.27041837334889895
71,Lorenzo Musetti,0.18101545253863136,0.5928229665071771,0.4922257878779668,0.6786556586922041,0.595150391079244,0.49018758775647986
72,Lorenzo Sonego,0.3443708609271523,0.3894545454545455,0.5275885038762289,0.5655034051077432,0.5615903548205265,0.44076826471044206
73,Mackenzie Mcdonald,0.25386313465783666,0.43422459893048126,0.39149138479342316,0.6694990757772963,0.5405924867814997,0.4080372487040389
74,Marc Andrea Huesler,0.01324503311258278,0.4424242424242424,0.7235858818494285,0.24976845046677387,0.5011599932490425,0.3702272129908357
75,Marcos Giron,0.19205298013245034,0.31095041322314054,0.4444020278856886,0.44657154551748524,0.391117451303864,0.2993744718961977
76,Marin Cilic,0.880794701986755,0.591111111111111,0.6810157362572578,0.6390578851859756,0.6990342750762402,0.6244506584811953
77,Marton Fucsovics,0.4304635761589404,0.3727272727272727,0.40034928077200815,0.5439947726563676,0.44871670922007745,0.33290500143145807
78,Matteo Berrettini,0.4326710816777042,0.7962703962703962,0.7647149968578897,0.48623867957107403,0.6679601913527158,0.5878153333749225
79,Maxime Cressy,0.07947019867549669,0.49162210338680923,0.8051269844038953,0.21526516050994293,0.5370308552119241,0.41307941494019507
80,Mikael Ymer,0.13024282560706402,0.517929292929293,0.29713561234758634,0.8905614075296981,0.6016254158204299,0.480123623657454
81,Miomir Kecmanovic,0.3311258278145695,0.634090909090909,0.4924479206851289,0.7415209576854329,0.6360547527795397,0.5329322190844781
82,Nick Kyrgios,0.5275938189845475,0.890909090909091,0.9248498616637391,0.49321720977698935,0.7997279572074767,0.7607840647878097
83,Nikoloz Basilashvili,0.5783664459161149,0.19267676767676772,0.18543911522719414,0.3806269999405123,0.16198775275012345,0.1003676180126476
84,Novak Djokovic,1.0,0.9999999999999999,0.8490874069593972,0.8911836085283491,1.0,1.0000000000000002
85,Oscar Otte,0.05298013245033112,0.42097902097902107,0.5107353263035623,0.4925388376167599,0.5148555177252128,0.37787245513727585
86,Pablo Andujar,0.2582781456953642,0.40409090909090917,0.07567841912811701,0.8120465501456671,0.3860318770572988,0.2891448009942166
87,Pablo Carreno Busta,0.8432671081677705,0.6539184952978057,0.6107368709945793,0.7114101279904383,0.687689231807691,0.6128467361775465
88,Pedro Martinez,0.16997792494481237,0.3727272727272727,0.22905165231620517,0.7195820255304641,0.4276549795942053,0.3290080909938504
89,Peter Gojowczyk,0.2671081677704194,0.038181818181818206,0.029624169886025342,0.34199865242329053,0.0,0.0
90,Radu Albot,0.38852097130242824,0.438755980861244,0.4113047608754843,0.6161859494967719,0.49863768502501404,0.3876359186881968
91,Rafael Nadal,0.9072847682119205,0.9545454545454545,0.6455702448366654,0.932866555396102,0.8933819507070364,0.8058954454424392
92,Reilly Opelka,0.2847682119205298,0.6494652406417113,1.0000000000000004,0.10383323105749342,0.607339810952463,0.5068377765068015
93,Ricardas Berankis,0.2869757174392936,0.4772727272727273,0.4101451578304096,0.5166264122044983,0.42497748425817417,0.3218393896727494
94,Richard Gasquet,0.6931567328918322,0.5710955710955711,0.4282273889797463,0.6483916320368979,0.531692537913802,0.4210616226157349
95,Roberto Bautista Agut,0.9624724061810155,0.6843910806174957,0.5848296979054814,0.8163731964511245,0.7620420183758583,0.6641256792723791
96,Roberto Carballes Baena,0.2693156732891832,0.28754208754208754,0.2932385106079618,0.5375041395848836,0.37452015504517444,0.25825233572401296
97,Roman Safiullin,0.0,0.6236363636363637,0.6340145166175737,0.6019476210375438,0.6215184713117283,0.5546882861523901
98,Sebastian Baez,0.07505518763796909,0.4922077922077922,0.29443666006854574,0.7872518974102285,0.5060627608457491,0.41404360734009926
99,Sebastian Korda,0.18984547461368653,0.6291595197255574,0.4162952239569555,0.7866448541601894,0.6225730387757276,0.5027574552316252
100,Soon Woo Kwon,0.15673289183222958,0.40023923444976084,0.3423808776483228,0.6217977232225549,0.4529783674586838,0.3431686051336682
101,Stan Wawrinka,0.6158940397350994,0.36172248803827745,0.5764059167527988,0.34893258567881635,0.4374838740493079,0.3272938007748445
102,Stefanos Tsitsipas,0.7019867549668874,0.7854066985645932,0.764787696292776,0.5334093816588219,0.7182693916063219,0.6243838994596416
103,Steve Johnson,0.6467991169977925,0.42848484848484847,0.6303659691224861,0.2447091446695,0.43127194972886507,0.2932579205378085
104,Tallon Griekspoor,0.04415011037527594,0.33090909090909093,0.527666483451636,0.4262054038177683,0.4444171910428558,0.3449564180560807
105,Taro Daniel,0.2671081677704194,0.3592375366568915,0.33962542892927594,0.6666999368242628,0.4741096260209563,0.3697176609568342
106,Taylor Fritz,0.6445916114790287,0.7873651771956857,0.7210907682592738,0.71337987498917,0.7829718210662096,0.7188711973032376
107,Thanasi Kokkinakis,0.09271523178807947,0.5260606060606061,0.6852151659575996,0.34804506241768096,0.4977980608099237,0.4122178992290433
108,Thiago Monteiro,0.2958057395143488,0.3663911845730028,0.6396739680613099,0.33382599178190175,0.47334123367701864,0.3649727367840787
109,Tim Van Rijthoven,0.0,0.6236363636363637,0.8155577271358276,0.19443032929286397,0.5403902455830574,0.40577907238204536
110,Tomas Martin Etcheverry,0.0022075055187637943,0.019886363636363646,0.21825073195791989,0.30465630214374406,0.11632455071460601,0.07253635680667614
111,Tommy Paul,0.26048565121412803,0.5889060092449924,0.45181370467825666,0.7151729904790265,0.5960954189096181,0.4830531381385974
112,Ugo Humbert,0.2671081677704194,0.19968652037617557,0.3409996176244796,0.5147219842884396,0.37927347884210416,0.2744356169050546
113,Yoshihito Nishioka,0.37748344370860926,0.5399999999999999,0.34455274274612435,0.6116269001445394,0.46826532096030693,0.33819207130997464
